package	version	architecture	source	package_url	size	sha256	requested_by
procps	2:4.0.4-4ubuntu3.2	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/p/procps/procps_4.0.4-4ubuntu3.2_amd64.deb	707124	73166776dc49e148f5c05813171fbc5db5703e7a1e981329b63bd201abc10f42	apt-closure
pv	1.8.5-2build1	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/p/pv/pv_1.8.5-2build1_amd64.deb	73906	41ac93842e0aa437f961e0f26648dfaa288b000de0da5acee2097511d88f7954	apt-closure
python3	3.12.3-0ubuntu2.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/p/python3-defaults/python3_3.12.3-0ubuntu2.1_amd64.deb	23004	e691b9cc40841c41bbdc50bd794c876cb1b1801306ea27b06e9a1458180df1e9	apt-closure
python3-dev	3.12.3-0ubuntu2.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/p/python3-defaults/python3-dev_3.12.3-0ubuntu2.1_amd64.deb	26698	cf5400446de32904368763c387066fa1ab6951f3981116030f308174193bff0d	apt-closure
python3-venv	3.12.3-0ubuntu2.1	amd64	Ubuntu:noble-updates:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/p/python3-defaults/python3-venv_3.12.3-0ubuntu2.1_amd64.deb	1032	16d50387b7656796b79e2c059d06774dfe9fe3f42808d8d50b332ceb780f508a	apt-closure
qemu-system-x86	1:8.2.2+ds-0ubuntu1.17	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/q/qemu/qemu-system-x86_8.2.2%2bds-0ubuntu1.17_amd64.deb	11222750	ab6a19eb0a69666466384ae4d5afcba3cb672fad7a0a2e35ae6409be52f90d19	apt-closure
qemu-user-static	1:8.2.2+ds-0ubuntu1.17	amd64	Ubuntu:noble-updates:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/q/qemu/qemu-user-static_8.2.2%2bds-0ubuntu1.17_amd64.deb	14722908	4558164baf4250d4dcc0dcbcf114b44b4b77b5fed773267187e72cedae883fdc	apt-closure
qemu-utils	1:8.2.2+ds-0ubuntu1.17	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/q/qemu/qemu-utils_8.2.2%2bds-0ubuntu1.17_amd64.deb	2222170	8c46c01e8d2e020d1f2f64b98a4b104e0566fb09d4bfa5b3409addba2f155227	apt-closure
qpdf	11.9.0-1.1ubuntu0.1	amd64	Ubuntu:noble-updates:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/q/qpdf/qpdf_11.9.0-1.1ubuntu0.1_amd64.deb	86570	b50d1aca530cd8f7b68214f8b19bdf348c6c01b7110ca1c335e6662cdb442af8	apt-closure
rclone	1.60.1+dfsg-3ubuntu0.24.04.6	amd64	Ubuntu:noble-updates:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/r/rclone/rclone_1.60.1%2bdfsg-3ubuntu0.24.04.6_amd64.deb	16486202	f887e086389fa079b5e5b8f5832e140872cef2c808adc11c0a9047a989698e7d	apt-closure
