package	version	architecture	source	package_url	size	sha256	requested_by
iso-codes	4.16.0-1	all	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/i/iso-codes/iso-codes_4.16.0-1_all.deb	3491500	cafca0a3a1f07b44fbba53ab7a1f1d9755e6b80cc041173afe2b52e53bed97a7	apt-closure
iw	6.7-1build1	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/i/iw/iw_6.7-1build1_amd64.deb	113952	0765ce9fbf01b421be44333926648bcef433003979fd6416dd51a649a6734fd0	apt-closure
jq	1.7.1-3ubuntu0.24.04.2	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/j/jq/jq_1.7.1-3ubuntu0.24.04.2_amd64.deb	65694	f59183392f84fe67b407b494d8ba6185e9b0e4a106ffcb369490bd20a83fd40e	apt-closure
keyboxd	2.4.4-2ubuntu17.4	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/g/gnupg2/keyboxd_2.4.4-2ubuntu17.4_amd64.deb	78272	c97eb18b05c7a1d4f30efefc1d9896f06cf2632d62ade8bf750288fd48ad53bf	apt-closure
kmod	31+20240202-2ubuntu7.2	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/k/kmod/kmod_31%2b20240202-2ubuntu7.2_amd64.deb	101742	687693dfad23c96570d96a1c7cc1b8709d31a93f82ac765a11b2bd9130f1dfae	apt-closure
kpartx	0.9.4-5ubuntu8.2	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/m/multipath-tools/kpartx_0.9.4-5ubuntu8.2_amd64.deb	32200	f3d35f80f6938c8c1cc1b2758c74561d91059d6b50bff29b190368e1665a0254	apt-closure
libacl1	2.3.2-1build1.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/a/acl/libacl1_2.3.2-1build1.1_amd64.deb	16792	f2bfd3f8f00413d5f1f04fc723063803c56ac0f1e0efae3bc41f2d7276972ec3	apt-closure
libaio1t64	0.3.113-6build1.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/liba/libaio/libaio1t64_0.3.113-6build1.1_amd64.deb	7210	433212b33e26d424605c01cec1de33b63f2cc12870987b4cb7b3625baba66a19	apt-closure
libapparmor1	4.0.1really4.0.1-0ubuntu0.24.04.7	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/a/apparmor/libapparmor1_4.0.1really4.0.1-0ubuntu0.24.04.7_amd64.deb	51272	4205351c37f4e813f1ca81b6d59a00071f0f70869e652f4ab9e5ba7e5e895d34	apt-closure
libargon2-1	0~20190702+dfsg-4build1	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/a/argon2/libargon2-1_0%7e20190702%2bdfsg-4build1_amd64.deb	20824	e2c50cb5c50ca598585397f4d4ce43e6f0b5e3ddc212c23b30bdb34ca4a61f66	apt-closure
