package	version	architecture	source	package_url	size	sha256	requested_by
cryptsetup-bin	2:2.7.0-1ubuntu4.2	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/c/cryptsetup/cryptsetup-bin_2.7.0-1ubuntu4.2_amd64.deb	210524	63fc1b21893ddcbc85968cf06d6c321d77ad062fa6210c029b0554aaade04eab	apt-closure
curl	8.5.0-2ubuntu10.11	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/c/curl/curl_8.5.0-2ubuntu10.11_amd64.deb	226398	c44c90bf869c9fadb12015afb65178c0346ecb3b88ac1a78b40addadf874c45b	apt-closure
dash	0.5.12-6ubuntu5	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/dash/dash_0.5.12-6ubuntu5_amd64.deb	89836	e97728d8deaa51300255f0572bbd68b9549e0894a184c056dc420fc4e0ba0781	apt-closure
db-util	1:5.3.21ubuntu2	all	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/db-defaults/db-util_5.3.21ubuntu2_all.deb	2412	e1010a730a25e3a6e3b3fa55c052a041fc597e6afa6f2558b1e7154e9a02f7dd	apt-closure
db5.3-util	5.3.28+dfsg2-7	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/db5.3/db5.3-util_5.3.28%2bdfsg2-7_amd64.deb	71716	cbfcb4e9822510118456fc1253c1cc37e303f26b8e352f8dcae2f8ab64befcee	apt-closure
dbus	1.14.10-4ubuntu4.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/dbus/dbus_1.14.10-4ubuntu4.1_amd64.deb	24300	0d59be1393d5b01552edbf16c7b9357c473bf625aa47365ce2e8eef6da1dd2e1	apt-closure
dbus-bin	1.14.10-4ubuntu4.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/dbus/dbus-bin_1.14.10-4ubuntu4.1_amd64.deb	39310	0d2c7e425967039594ea099f6128231769e1ed2cc2f6fd7d895fea135c9e1964	apt-closure
dbus-daemon	1.14.10-4ubuntu4.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/dbus/dbus-daemon_1.14.10-4ubuntu4.1_amd64.deb	118148	785ad36aafc8912300e44a1cea438e28ea36fb94c631f5849408aea85d2ab2bf	apt-closure
dbus-session-bus-common	1.14.10-4ubuntu4.1	all	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/dbus/dbus-session-bus-common_1.14.10-4ubuntu4.1_all.deb	80550	aa88bf2f2107e7d948d0e01001b447fc6cae81b285a6e7daf33dcb62737de62f	apt-closure
dbus-system-bus-common	1.14.10-4ubuntu4.1	all	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/dbus/dbus-system-bus-common_1.14.10-4ubuntu4.1_all.deb	81648	4db2e3e18c6abee1a1d1e2f91289e229dd862e6e1ef00463c5533c612c4f1809	apt-closure
